Profile,Variant,State,Query,n,Execution median ms,95% CI ms,p95 ms,Access,Lossy heap blocks (max),Planning median ms,Plan+execution median ms
prepared,hash,force_custom_plan,dense,10,5.130,5.054–5.206,5.226,Seq Scan,0,0.033,5.163
prepared,hash,force_custom_plan,point,10,0.015,0.014–0.015,0.017,Index Scan,0,0.039,0.054
prepared,hash,force_generic_plan,dense,10,5.524,5.466–5.838,7.022,Seq Scan,0,0.005,5.529
prepared,hash,force_generic_plan,point,10,0.018,0.016–0.018,0.018,Index Scan,0,0.008,0.026
prepared,roaring,force_custom_plan,dense,10,0.025,0.023–0.026,0.028,RoaringCount,0,0.038,0.064
prepared,roaring,force_custom_plan,point,10,0.009,0.009–0.011,0.016,RoaringCount,0,0.038,0.049
prepared,roaring,force_generic_plan,dense,10,5.598,5.509–5.783,5.845,Seq Scan,0,0.004,5.602
prepared,roaring,force_generic_plan,point,10,0.019,0.018–0.021,0.023,"Bitmap Heap Scan, Bitmap Index Scan",0,0.007,0.026
prepared,seq,force_custom_plan,dense,10,5.075,4.951–5.242,5.573,Seq Scan,0,0.030,5.123
prepared,seq,force_custom_plan,point,10,3.359,3.220–3.515,3.619,Seq Scan,0,0.032,3.409
prepared,seq,force_generic_plan,dense,10,5.648,5.495–5.724,5.854,Seq Scan,0,0.005,5.653
prepared,seq,force_generic_plan,point,10,3.579,3.527–3.768,3.860,Seq Scan,0,0.007,3.587
